"dateTimeID","aussen14_1_1","aussen14_1_2","tempNum"
"T170117170000",-3.5,-4,22
"T170117180000",-3.5,-4,22
"T170117190000",-4,-4,22
"T170117200000",-3.5,-4,22
"T170117210000",-3.5,-4,22
"T170117220000",-4,-4,22
"T170117230000",-4,-4,22
"T180117000000",-4,-4,22
"T180117010000",-4,-4.5,22
"T180117020000",-4,-4.5,22
"T180117030000",-4.5,-4.5,22
"T180117040000",-4.5,-4.5,22
"T180117050000",-4.5,-4.5,22
"T180117060000",-4.5,-5,22
"T180117070000",-4.5,-5,22
"T180117080000",-4.5,-5,24
"T180117090000",-4.5,-4.5,24
"T180117100000",-4.5,-4.5,24
"T180117110000",-4,-4.5,24
"T180117120000",-3.5,-3.5,24
"T180117130000",-3,-3.5,24
"T180117140000",-3,-3,24
"T180117150000",-3,-3,24
"T180117160000",-3,-3,24
"T180117170000",-3,-3.5,22
"T180117180000",-3,-3.5,22
"T180117190000",-3.5,-3.5,22
"T180117200000",-3.5,-3.5,22
"T180117210000",-3.5,-3.5,22
"T180117220000",-3.5,-4,22
"T180117230000",-3.5,-4,22
"T190117000000",-3.5,-4,22
"T190117010000",-4,-4,22
"T190117020000",-4,-4,22
"T190117030000",-4,-4,22
"T190117040000",-4,-4,22
"T190117050000",-4,-4.5,22
"T190117060000",-4,-4.5,22
"T190117070000",-4.5,-4.5,22
"T190117080000",-4.5,-4.5,24
"T190117090000",-4.5,-4.5,24
"T190117100000",-4,-4.5,24
"T190117110000",-4,-4,24
"T190117120000",-4,-4,24
"T190117130000",-3.5,-4,24
"T190117140000",-3.5,-3.5,24
"T190117150000",-4,-4,24
"T190117160000",-4,-4,24
"T190117170000",-4,-4.5,22
"T190117180000",-4,-4.5,22
"T190117190000",-4.5,-4.5,22
"T190117200000",-4.5,-4.5,22
"T190117210000",-4.5,-4.5,22
"T190117220000",-4.5,-4.5,22
"T190117230000",-4.5,-5,22
"T200117000000",-5,-5,22
"T200117010000",-5,-5,22
"T200117020000",-5,-5,22
"T200117030000",-5,-5,22
"T200117040000",-5,-5,22
"T200117050000",-5,-5.5,22
"T200117060000",-5,-5.5,22
"T200117070000",-5,-5.5,22
"T200117080000",-5,-5.5,24
"T200117090000",-5,-5,24
"T200117100000",-4.5,-5,24
"T200117110000",-4,-4,24
"T200117120000",-3.5,-3.5,24
"T200117130000",-3.5,-3.5,24
"T200117140000",-3.5,-3.5,24
"T200117150000",-3.5,-4,24
"T200117160000",-4,-4,24
"T200117170000",-4.5,-4.5,22
"T200117180000",-5,-5,22
"T200117190000",-5,-5.5,22
"T200117200000",-5.5,-5.5,22
"T200117210000",-5.5,-5.5,22
"T200117220000",-5.5,-5.5,22
"T200117230000",-5.5,-6,22
"T210117000000",-5.5,-6,22
"T210117010000",-5.5,-6,22
"T210117020000",-5.5,-5.5,22
"T210117030000",-5.5,-5.5,22
"T210117040000",-5.5,-6,22
"T210117050000",-5.5,-5.5,22
"T210117060000",-5.5,-5.5,22
"T210117070000",-5.5,-5.5,22
"T210117080000",-5.5,-5.5,24
"T210117090000",-5.5,-5.5,24
"T210117100000",-4.5,-5,24
"T210117110000",-4,-4.5,24
"T210117120000",-4,-4,24
"T210117130000",-3.5,-4,24
"T210117140000",-3,-3,24
"T210117150000",-3,-3,24
"T210117160000",-3.5,-3.5,24
"T210117170000",-4,-4,22
"T210117180000",-4,-4,22
"T210117190000",-4.5,-5,22
"T210117200000",-5,-5.5,22
"T210117210000",-5.5,-5.5,22
"T210117220000",-5.5,-5.5,22
"T210117230000",-5,-5.5,22
"T220117000000",-5.5,-6,22
"T220117010000",-6,-6,22
"T220117020000",-6,-6,22
"T220117030000",-6,-6,22
"T220117040000",-6,-6,22
"T220117050000",-6,-6.5,22
"T220117060000",-6,-6.5,22
"T220117070000",-6,-6.5,22
"T220117080000",-6,-6.5,24
"T220117090000",-6,-6,24
"T220117100000",-5.5,-5.5,24
"T220117110000",-5,-5.5,24
"T220117120000",-4.5,-5,24
"T220117130000",-4,-4,24
"T220117140000",-3.5,-3.5,24
"T220117150000",-3,-3,24
"T220117160000",-4,-4.5,24
"T220117170000",-4.5,-4.5,22
"T220117180000",-4.5,-4.5,22
"T220117190000",-4.5,-5,22
"T220117200000",-5,-5,22
"T220117210000",-5,-5,22
"T220117220000",-5,-5,22
"T220117230000",-5,-5.5,22
"T230117000000",-5,-5.5,22
"T230117010000",-5.5,-5.5,22
"T230117020000",-5.5,-5.5,22
"T230117030000",-5.5,-5.5,22
"T230117040000",-5.5,-6,22
"T230117050000",-5.5,-6,22
"T230117060000",-5.5,-6,22
"T230117070000",-5.5,-5.5,22
"T230117080000",-5.5,-6,24
"T230117090000",-6,-6,24
"T230117100000",-5.5,-5.5,24
"T230117110000",-4.5,-4.5,24
"T230117120000",-4,-4,24
"T230117130000",-4,-4,24
"T230117140000",-3.5,-4,24
"T230117150000",-3.5,-3.5,24
"T230117160000",-3.5,-4,24
"T230117170000",-4,-4.5,22
"T230117180000",-5,-5,22
"T230117190000",-5,-5,22
"T230117200000",-5.5,-5.5,22
"T230117210000",-5.5,-6,22
"T230117220000",-6.5,-6.5,22
"T230117230000",-6.5,-6.5,22
"T240117000000",-6.5,-6.5,22
"T240117010000",-6.5,-6.5,22
"T240117020000",-6,-6.5,22
"T240117030000",-6,-6,22
"T240117040000",-5.5,-6,22
"T240117050000",-5.5,-6,22
"T240117060000",-5.5,-6,22
"T240117070000",-5.5,-5.5,22
"T240117080000",-5.5,-5.5,24
"T240117090000",-5,-5.5,24
"T240117100000",-4.5,-4.5,24
"T240117110000",-4.5,-5,24
"T240117120000",-4.5,-4.5,24
"T240117130000",-4,-4.5,24
"T240117140000",-4,-4.5,24
"T240117150000",-4,-4.5,24
"T240117160000",-4.5,-4.5,24
"T240117170000",-4.5,-4.5,22
"T240117180000",-4.5,-5,22
"T240117190000",-5,-5,22
"T240117200000",-5,-5,22
"T240117210000",-5,-5.5,22
"T240117220000",-5.5,-5.5,22
"T240117230000",-5.5,-6,22
"T250117000000",-6,-6.5,22
"T250117010000",-6,-6.5,22
"T250117020000",-6.5,-6.5,22
"T250117030000",-6.5,-6.5,22
"T250117040000",-7,-7,22
"T250117050000",-6.5,-7,22
"T250117060000",-6.5,-7,22
"T250117070000",-6.5,-6.5,22
"T250117080000",-6.5,-6.5,24
"T250117090000",-6.5,-6.5,24
"T250117100000",-6.5,-6.5,24
"T250117110000",-6.5,-6.5,24
"T250117120000",-6,-6,24
"T250117130000",-6,-6,24
"T250117140000",-6,-6,24
"T250117150000",-5.5,-6,24
"T250117160000",-6,-6,24
"T250117170000",-6,-6.5,22
"T250117180000",-6.5,-6.5,22
