"dateTimeID","messID","dt_string","datetime_lt","datetime_ct","day","hour","Log_05","Log_10","Log_11","Log_14","Log_19","Log_20","Log_22","Log_23","Log_24","Log_26","Log_27","Log_28","Log_29","Log_30","Log_31","Log_32","Log_36","Log_37","Log_39","Log_40","aussen14_1_1","aussen14_1_2","tempNum"
"T170117170000",1,"2017-01-17 17:00:00",2017-01-17 17:00:00,2017-01-17 17:00:00,"Di. 17 Jan 2017","17",21.75,19.75,19.5,19.5,19.25,22,18.5,20,19.75,19.5,19.5,19.5,21.5,18.5,20,20.75,19.75,18.5,21.75,18.5,-3.5,-4,22
"T170117180000",2,"2017-01-17 18:00:00",2017-01-17 18:00:00,2017-01-17 18:00:00,"Di. 17 Jan 2017","18",22,19.5,19.5,20,19.5,22.25,19,20,20.25,20.5,19.75,19.5,22,18.75,20.5,21,20,18.5,22.25,18.5,-3.5,-4,22
"T170117190000",3,"2017-01-17 19:00:00",2017-01-17 19:00:00,2017-01-17 19:00:00,"Di. 17 Jan 2017","19",21.75,19.25,19.5,20,19.25,22.25,18.5,19.5,20,20.5,19.5,19.5,21.5,18.5,20,20.75,20,18,22.25,18.5,-4,-4,22
"T170117200000",4,"2017-01-17 20:00:00",2017-01-17 20:00:00,2017-01-17 20:00:00,"Di. 17 Jan 2017","20",21.25,19,19.25,19.5,19,21.75,18.5,19.75,19.75,20.25,19.5,19,21,18.25,19.5,20.5,19.5,17.5,21.75,18,-3.5,-4,22
"T170117210000",5,"2017-01-17 21:00:00",2017-01-17 21:00:00,2017-01-17 21:00:00,"Di. 17 Jan 2017","21",21.25,18.75,19,19.5,18.75,21.25,18,19,19.25,20,19,19,21,18,19.5,20.25,19.25,17.5,21.25,18,-3.5,-4,22
"T170117220000",6,"2017-01-17 22:00:00",2017-01-17 22:00:00,2017-01-17 22:00:00,"Di. 17 Jan 2017","22",21,18.5,19,19.25,18.5,21.25,18,19,19.25,20,19,18.75,20.75,18,19,20,19,17.5,21.25,17.75,-4,-4,22
"T170117230000",7,"2017-01-17 23:00:00",2017-01-17 23:00:00,2017-01-17 23:00:00,"Di. 17 Jan 2017","23",20.75,18.25,19,19.25,18.5,21.25,18,18.75,19.25,20,19,18.75,20.5,18,19.5,20,19,17.5,21.25,17.75,-4,-4,22
"T180117000000",8,"2017-01-18 00:00:00",2017-01-18 00:00:00,2017-01-18 00:00:00,"Mi. 18 Jan 2017","00",20.75,18.25,18.75,19.25,18.5,21.25,18,19,19.25,20,19,18.75,20.5,18,19.5,20,19,17.5,21.25,17.75,-4,-4,22
"T180117010000",9,"2017-01-18 01:00:00",2017-01-18 01:00:00,2017-01-18 01:00:00,"Mi. 18 Jan 2017","01",20.75,18.25,18.75,19,18.5,21.25,18,18.5,19.25,19.5,18.75,18.75,20.5,17.75,19,20,19,17,21,17.5,-4,-4.5,22
"T180117020000",10,"2017-01-18 02:00:00",2017-01-18 02:00:00,2017-01-18 02:00:00,"Mi. 18 Jan 2017","02",20.75,18.25,18.75,19,18.5,21.25,18,18.75,19.25,19.5,18.75,18.75,20.5,17.75,19.5,20,19,17,21.25,17.5,-4,-4.5,22
"T180117030000",11,"2017-01-18 03:00:00",2017-01-18 03:00:00,2017-01-18 03:00:00,"Mi. 18 Jan 2017","03",20.75,18.25,18.5,19,18.5,21.25,17.75,18.5,19.25,19.5,18.75,18.5,20.5,17.75,19.25,20,19,17,21,17.5,-4.5,-4.5,22
"T180117040000",12,"2017-01-18 04:00:00",2017-01-18 04:00:00,2017-01-18 04:00:00,"Mi. 18 Jan 2017","04",20.75,18.25,18.5,19,18.5,21.25,17.75,18.5,19.25,19.5,18.75,18.5,20.5,17.75,19,20,19,17,21,17.5,-4.5,-4.5,22
